clientid,emp,emp_date
1045451,Not employed,2015-12-02 00:00:00
1045452,Not employed,2015-10-05 00:00:00
1045453,Not employed,2015-07-21 00:00:00
1045454,Not employed,2015-07-17 00:00:00
1045459,Not employed,2015-07-08 00:00:00
1045460,Not employed,2016-01-13 00:00:00
1045462,Not employed,2015-07-10 00:00:00
1045463,Not employed,2015-07-01 00:00:00
1045464,Not employed,2015-07-08 00:00:00
1045466,Not employed,2015-09-15 00:00:00
1045469,Not employed,2015-11-27 00:00:00
1045484,Employed Full Time,2015-07-01 00:00:00
1045485,Not employed,2015-07-23 00:00:00
1045498,Not employed,2015-10-08 00:00:00
1045503,Not employed,2016-01-12 00:00:00
1045505,Employed Full Time,2015-07-10 00:00:00
1045509,Not employed,2015-07-07 00:00:00
1045518,Not employed,2015-10-22 00:00:00
1045519,Not employed,2015-08-20 00:00:00
1045520,Not employed,2015-07-21 00:00:00
1045521,Not employed,2015-08-20 00:00:00
1045523,Employed Full Time,2016-02-09 00:00:00
1045524,Not employed,2016-02-08 00:00:00
1045525,Not employed,2016-02-19 00:00:00
1045526,Not employed,2016-03-03 00:00:00
1045528,Employed Full Time,2015-12-23 00:00:00
1045537,Not employed,
1045539,Employed Full Time,2016-03-12 00:00:00
1045540,Not employed,
1045541,Not employed,2015-12-11 00:00:00
1045542,,
1045544,Not employed,2015-07-14 00:00:00
1045545,Not employed,2015-07-01 00:00:00
1045546,Employed Full Time,
1045547,Not employed,
1045551,Not employed,2015-09-10 00:00:00
1045553,Not employed,2015-07-14 00:00:00
1045568,Not employed,2016-02-08 00:00:00
1045569,Not employed,2016-03-18 00:00:00
1045574,Not employed,
1045587,Employed Full Time,2016-02-18 00:00:00
1045621,Not employed,2016-02-09 00:00:00
1045644,Not employed,2015-08-07 00:00:00
1045876,Employed Full Time,
1045882,Not employed,2016-03-08 00:00:00
1045898,Not employed,
1045900,Not employed,
1045942,Not employed,2016-02-16 00:00:00
1045964,Employed Part Time,2015-04-13 00:00:00
1045968,Not employed,2016-02-15 00:00:00
1045973,Employed Full Time,2016-08-01 00:00:00
1045979,Not employed,2016-03-24 00:00:00
1045992,Employed Part Time,2015-12-15 00:00:00
1046012,Not employed,2016-02-18 00:00:00
1046017,Not employed,2016-04-27 00:00:00
1046027,Not employed,
1046042,Not employed,
1046046,Employed Part Time,
1046050,Not employed,
1046051,Not employed,
1046052,Not employed,2016-02-29 00:00:00
1046053,Employed Full Time,2016-03-16 00:00:00
1046065,Employed Part Time,2016-05-12 00:00:00
1046067,Not employed,
1046086,Not employed,2016-02-24 00:00:00
1046090,Not employed,
1046093,Not employed,2016-02-26 00:00:00
1046096,Not employed,2016-03-08 00:00:00
1046097,Not employed,2016-03-15 00:00:00
1046112,Not employed,2016-02-26 00:00:00
1046119,Employed Full Time,
1046123,Not employed,2015-08-03 00:00:00
1046136,Employed Part Time,2013-01-07 00:00:00
1046158,Employed Part Time,2016-05-09 00:00:00
1046189,Employed Full Time,2016-05-02 00:00:00
1046193,Not employed,2016-08-22 00:00:00
1046202,Employed Full Time,2016-02-05 00:00:00
1046204,Employed Full Time,2016-02-05 00:00:00
1046210,Employed Full Time,2016-06-03 00:00:00
1046220,Not employed,
1046223,Not employed,2016-03-15 00:00:00
1046226,Not employed,
1046227,Employed Part Time,2016-08-01 00:00:00
1046253,Not employed,2016-03-10 00:00:00
1046254,Employed Full Time,2015-01-28 00:00:00
1046272,Not employed,2016-04-07 00:00:00
1046293,Not employed,2016-04-07 00:00:00
1046304,Employed Full Time,
1046350,Not employed,
1046357,,
1046368,Not employed,2016-05-06 00:00:00
1046376,Not employed,2016-03-24 00:00:00
1046377,Not employed,2016-04-07 00:00:00
1046457,Employed Full Time,
1046480,Not employed,
1046490,Not employed,2016-04-05 00:00:00
1046498,Not employed,
1046511,Not employed,
1046514,Not employed,
1046553,Employed Full Time,2016-07-18 00:00:00
1046577,Not employed,
1046627,Not employed,
1046641,Not employed,2016-04-15 00:00:00
1046642,Employed Full Time,
1046651,Employed Full Time,2016-04-22 00:00:00
1046656,Employed Part Time,
1046657,Employed Part Time,2015-06-01 00:00:00
1046669,Not employed,
1046676,Not employed,
1046690,Not employed,
1046696,Not employed,2016-07-05 00:00:00
1046704,Not employed,
1046724,Not employed,2016-05-02 00:00:00
1046743,Not employed,
1046744,Employed Full Time,
1046755,Employed Part Time,
1046768,Not employed,
1046800,Employed Part Time,
1046822,Not employed,
1046824,Not employed,
1046831,Not employed,2016-05-10 00:00:00
1046832,Employed Full Time,
1046834,Not employed,
1046835,Not employed,
1046837,Employed Full Time,
1046845,Employed Full Time,
1046849,,
