,Wages1,Hours1,Wages2,Hours2
922,20.0,25.0,,
923,0.0,,,
924,0.0,,,
925,0.0,,,
926,0.0,,,
927,0.0,,,
928,0.0,,,
929,,,,
930,0.0,,,
931,0.0,,,
932,0.0,,,
933,17.0,40.0,,
934,0.0,,,
935,11.0,40.0,,
936,0.0,,,
937,0.0,,,
938,0.0,,,
939,28.0,40.0,,
940,12.0,20.0,,
941,16.0,40.0,,
942,0.0,,,
943,0.0,,,
944,17.0,40.0,,
945,0.0,,,
946,9.4,25.0,,
947,0.0,,,
948,11.0,20.0,,
949,0.0,,,
950,25.0,40.0,,
951,0.0,,,
952,0.0,0.0,,
953,,,,
954,0.0,,,
955,0.0,,,
956,9.0,40.0,,
957,12.0,37.0,,
958,0.0,,,
959,16.0,55.0,,
960,0.0,,,
961,,,,
962,0.0,0.0,,
963,0.0,,,
964,14.0,50.0,,
965,0.0,,,
966,0.0,0.0,,
967,18.0,39.0,,
968,0.0,0.0,,
969,0.0,,,
970,11.53,50.0,,
971,0.0,,,
972,0.0,,,
973,0.0,0.0,,
974,0.0,0.0,,
975,11.5,40.0,,
976,8.25,25.0,,
977,0.0,,,
978,12.0,35.0,,
979,0.0,,,
980,0.0,0.0,,
981,0.0,,,
982,0.0,,,
983,25.0,40.0,,
984,0.0,,,
985,12.0,40.0,,
986,0.0,,,
987,9.0,20.0,,
988,17.0,50.0,,
989,20.0,40.0,,
990,0.0,,,
991,0.0,,,
992,22.0,40.0,,
993,0.0,,,
994,0.0,,,
995,10.0,25.0,,
996,2.13,35.0,,
997,0.0,,,
998,0.0,0.0,,
999,16.0,40.0,,
1000,0.0,0.0,,
1001,12.0,35.0,,
1002,0.0,,,
1003,15.0,50.0,,
1004,15.0,40.0,,
1005,13.0,30.0,,
1006,0.0,,,
1007,0.0,,,
1008,0.0,0.0,,
1009,0.0,,,
1010,0.0,,,
1011,0.0,,,
1012,0.0,0.0,,
1013,0.0,,,
1014,11.5,20.0,,
1015,0.0,,,
1016,0.0,,,
1017,0.0,,,
1018,9.5,40.0,,
1019,0.0,,,
1020,15.0,40.0,,
1021,11.0,40.0,,
1022,0.0,,,
1023,0.0,,,
1024,17.63,40.0,,
1025,23.16,35.0,,
1026,0.0,,,
1027,0.0,0.0,,
1028,0.0,,,
1029,0.0,,,
1030,0.0,,,
1031,0.0,,,
1032,0.0,,,
1033,0.0,0.0,,
1034,0.0,,,
1035,0.0,,,
1036,0.0,,,
1037,0.0,,,
1038,0.0,,,
1039,0.0,,,
1040,12.0,,,
1041,,,,
1042,,,,
1043,0.0,0.0,,
1044,7.75,20.0,,
1045,0.0,,,
1046,0.0,,,
1047,0.0,,,
1048,,,,
1049,10.0,30.0,,
1050,,,,
1051,,,,
1052,,,,
1053,,,,
1054,,,,
1055,,,,
1056,,,,
1057,,,,
1058,,,,
1059,,,,
1060,,,,
1061,,,,
1062,,,,
1063,,,,
1064,0.0,,,
1065,,,,
1066,10.0,40.0,,
1067,14.0,,,
1068,19.4,40.0,,
1069,,,,
1070,,,,
1071,18.0,40.0,,
1072,13.75,35.0,,
1073,,,,
1074,11.0,40.0,,
1075,,,,
1076,,,,
1077,,,,
1078,7.75,15.0,,
1079,,,,
1080,,,,
1081,24.0,40.0,,
1082,9.0,32.0,,
1083,,,,
1084,,,,
1085,,,,
1086,,,,
1087,,,,
1088,,,,
1089,,,,
1090,,,,
1091,,,,
1092,,,,
1093,,,,
1094,,,,
1095,11.0,40.0,,
1096,,,,
1097,25.0,30.0,,
1098,18.75,40.0,,
1099,,,,
1100,,,,
1101,0.0,0.0,,
1102,11.0,37.0,,
1103,,,,
1104,,,,
1105,8.5,0.0,,
1106,,,,
1107,,,,
1108,,,,
1109,10.0,0.0,,
1110,11.0,0.0,,
1111,10.0,0.0,,
1112,,,,
1113,12.0,0.0,,
1114,,,,
1115,9.0,0.0,,
1116,,,,
1117,,,,
1118,40.0,25.0,,
1119,20.0,40.0,,
1120,,,,
1121,,,,
1122,9.0,40.0,,
1123,,,,
1124,,,,
1125,,,,
1126,,,,
1127,7.5,56.0,,
1128,,,,
1129,,,,
1130,18.0,40.0,,
1131,,,,
1132,,,,
1133,,,,
1134,,,,
1135,,,,
1136,,,,
1137,,,,
1138,0.0,45.0,,
1139,,,,
1140,,,,
1141,15.5,45.0,,
1142,21.6,40.0,,
1143,25.0,40.0,,
1144,15.0,40.0,,
1145,,,,
1146,20.0,40.0,,
1147,,,,
1148,,,,
1149,,,,
1150,13.0,30.0,,
1151,,,,
1152,10.25,26.0,,
1153,20.0,40.0,,
1154,,,,
1155,,,,
1156,,,,
1157,,,,
1158,,,,
1159,,,,
1160,,,,
1161,,,,
1162,,,,
1163,,,,
1164,11.5,40.0,,
1165,15.0,40.0,,
1166,,,,
1167,9.5,39.0,,
1168,13.76,40.0,,
1169,,,,
1170,19.0,50.0,,
1171,,,,
1172,,,,
1173,28.0,40.0,,
1174,,,,
1175,,,,
1176,14.95,17.0,,
1177,0.0,90.0,,
1178,18.0,40.0,,
1179,0.0,15.0,,
1180,6.33,40.0,,
1181,9.3,30.0,,
1182,0.0,120.0,,
1183,12.5,40.0,,
1184,0.0,15.0,,
1185,0.0,20.0,,
1186,0.0,20.0,,
1187,0.0,0.0,,
1188,10.0,40.0,,
1189,24.0,40.0,,
1190,36.0,40.0,,
1191,0.0,30.0,,
1192,9.0,13.0,,
1193,25.0,60.0,,
1194,59.0,8.0,,
1195,0.0,20.0,,
1196,23.72,40.0,,
1197,29.0,40.0,,
1198,0.0,0.0,,
1199,16.0,28.0,,
1200,11.0,40.0,,
1201,16.0,25.0,,
1202,22.0,40.0,,
1203,15.0,25.0,,
1204,11.0,30.0,,
1205,0.0,30.0,,
1206,16.0,35.0,,
1207,11.5,40.0,,
1208,8.0,10.0,,
1209,0.0,60.0,,
1210,0.0,30.0,,
1211,0.0,20.0,,
1212,13.0,40.0,,
1213,0.0,30.0,,
1214,15.0,25.0,,
1215,21.96,40.0,,
1216,55.0,45.0,,
1217,0.0,0.0,,
1218,0.0,0.0,,
1219,14.0,40.0,,
1220,18.0,40.0,,
1221,17.0,45.0,,
1222,15.0,40.0,,
1223,19.0,25.0,,
1224,0.0,30.0,,
1225,11.3,40.0,,
1226,13.66,40.0,,
1227,10.0,25.0,,
1228,0.0,30.0,,
1229,0.0,30.0,,
1230,9.5,12.0,,
1231,18.25,30.0,,
1232,14.25,40.0,,
1233,12.0,36.0,,
1234,0.0,0.0,,
1235,24.0,40.0,,
1236,,,,
1237,0.0,0.0,,
1238,0.0,0.0,,
1239,0.0,0.0,,
1240,0.0,0.0,,
1241,0.0,0.0,,
1242,0.0,0.0,,
1243,0.0,0.0,,
1244,,,,
1245,8.0,32.0,,
1246,,,,
1247,8.0,24.0,,
1248,0.0,0.0,,
1249,,,,
1250,,,,
1251,,,,
1252,,,,
1253,,,,
1254,,,,
1255,0.0,0.0,,
1256,,,,
1257,,,,
1258,9.5,20.0,,
1259,,,,
1260,11.0,25.0,,
1261,,,,
1262,0.0,0.0,,
1263,13.0,40.0,,
1264,0.0,0.0,,
1265,0.0,0.0,,
1266,0.0,0.0,,
1267,0.0,0.0,,
1268,0.0,0.0,,
1269,10.0,20.0,,
1270,0.0,0.0,,
1271,,,,
1272,,,,
1273,0.0,0.0,,
1274,0.0,0.0,,
1275,,,,
1276,,,,
1277,0.0,0.0,,
1278,0.0,0.0,,
1279,0.0,0.0,,
1280,,,,
1281,,,,
1282,,,,
1283,0.0,0.0,,
1284,8.4,20.0,,
1285,0.0,0.0,,
1286,,,,
1287,0.0,0.0,,
1288,0.0,0.0,,
1289,,,,
1290,0.0,0.0,,
1291,0.0,0.0,,
1292,0.0,0.0,,
1293,0.0,0.0,,
1294,0.0,0.0,,
1295,0.0,0.0,,
1296,0.0,0.0,,
1297,0.0,0.0,,
1298,0.0,0.0,,
1299,0.0,0.0,,
1300,0.0,0.0,,
1301,0.0,0.0,,
1302,0.0,0.0,,
1303,0.0,0.0,,
1304,0.0,0.0,,
1305,0.0,0.0,,
1306,0.0,0.0,,
1307,8.25,40.0,,
1308,0.0,0.0,,
1309,0.0,0.0,,
1310,0.0,0.0,,
1311,0.0,0.0,,
1312,0.0,0.0,,
1313,0.0,0.0,,
1314,0.0,0.0,,
1315,0.0,0.0,,
1316,0.0,0.0,,
1317,0.0,0.0,,
1318,0.0,0.0,,
1319,0.0,0.0,,
1320,0.0,0.0,,
1321,0.0,0.0,,
1322,0.0,0.0,,
1323,0.0,0.0,,
1324,,,,
1325,0.0,0.0,,
1326,11.5,40.0,,
1327,0.0,0.0,,
1328,0.0,0.0,,
1329,9.0,15.0,,
1330,,,,
1331,0.0,0.0,,
1332,0.0,0.0,,
1333,0.0,0.0,,
1334,0.0,0.0,,
1335,0.0,0.0,,
1336,,,,
1337,,,,
1338,0.0,0.0,,
1339,0.0,0.0,,
1340,0.0,0.0,,
1341,9.5,36.0,,
1342,,,,
1343,0.0,0.0,,
1344,0.0,0.0,,
1345,0.0,0.0,,
1346,0.0,0.0,,
1347,0.0,0.0,,
1348,0.0,0.0,,
