clientid,quarter,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
1047458,2016 Q4,0,1,1,2
1047459,2017 Q1,0,1,0,1
1047481,2017 Q2,0,1,1,2
1047484,2017 Q1,1,1,1,3
1047492,2016 Q4,1,1,0,2
1047510,2016 Q3,1,1,1,3
1047528,2016 Q3,1,1,1,3
1047529,2017 Q1,1,1,1,3
1047532,2016 Q3,1,1,1,3
1047564,2017 Q1,0,0,1,1
1047578,2017 Q1,0,0,1,1
1047582,2017 Q1,0,1,0,1
1047584,2017 Q1,0,1,0,1
1047585,2016 Q3,0,1,0,1
1047596,2017 Q1,1,1,1,3
1047598,2017 Q1,1,1,1,3
1047599,2017 Q1,1,1,1,3
1047603,2017 Q1,0,1,0,1
1047606,2017 Q1,1,1,1,3
1047626,2016 Q4,1,1,1,3
1047630,2017 Q4,1,1,1,3
1047632,2018 Q2,1,1,1,3
1047647,2016 Q3,1,1,1,3
1047651,2017 Q3,1,1,1,3
1047657,2016 Q3,0,1,0,1
1047660,2016 Q4,1,1,1,3
1047730,2017 Q1,1,1,1,3
1047807,2017 Q1,1,1,1,3
1047811,2016 Q4,1,1,1,3
1047825,2016 Q3,1,1,0,2
1047831,2016 Q3,1,1,0,2
1047855,2017 Q1,1,1,1,3
1047857,2018 Q2,1,1,1,3
1047900,2016 Q3,1,1,1,3
1047913,2017 Q4,1,1,1,3
1047926,2017 Q1,1,1,1,3
1047955,2016 Q3,1,1,1,3
1047975,2017 Q2,0,0,1,1
1048011,2016 Q4,0,1,1,2
1048015,2018 Q4,1,0,1,2
1048028,2017 Q2,1,1,1,3
1048034,2016 Q3,0,1,0,1
1048044,2017 Q4,1,1,1,3
1048056,2017 Q1,0,1,1,2
1048095,2017 Q2,0,1,1,2
1048117,2017 Q1,0,1,1,2
1048124,2017 Q1,0,1,1,2
1048134,2017 Q1,0,1,1,2
1048149,2016 Q4,0,0,0,0
1048151,2016 Q4,0,0,0,0
1048153,2016 Q4,0,0,0,0
1048157,2017 Q1,0,1,0,1
1048209,2017 Q1,0,1,1,2
1048226,2016 Q3,1,0,1,2
1048262,2016 Q4,0,0,0,0
1048268,2016 Q4,1,1,1,3
1048269,2016 Q4,0,0,0,0
1048270,2016 Q4,0,0,0,0
1048271,2017 Q1,1,1,1,3
1048272,2016 Q4,0,0,0,0
1048303,2017 Q1,1,1,1,3
1048386,2016 Q4,1,1,1,3
1048412,2016 Q3,0,1,0,1
1048417,2017 Q3,1,1,1,3
1048443,2017 Q3,1,1,1,3
1048468,2017 Q1,1,1,1,3
1048472,2017 Q1,1,1,1,3
1048476,2016 Q4,1,1,1,3
1048528,2017 Q3,1,1,1,3
1048564,2016 Q4,0,0,0,0
1048565,2016 Q4,0,0,0,0
1048600,2017 Q1,1,1,1,3
1048627,2016 Q4,1,1,1,3
1048631,2016 Q4,0,0,1,1
1048636,2017 Q2,0,1,0,1
1048643,2016 Q3,0,1,0,1
1048645,2016 Q3,0,1,0,1
1048646,2017 Q1,1,1,1,3
1048672,2017 Q1,0,1,0,1
1048683,2017 Q2,1,1,1,3
1048684,2017 Q1,0,1,1,2
1048745,2016 Q4,1,1,1,3
1048821,2017 Q2,1,1,1,3
1048867,2017 Q2,1,1,1,3
1048936,2017 Q2,1,1,1,3
1048967,2017 Q1,1,1,1,3
1049055,2016 Q3,1,0,0,1
1049123,2017 Q4,1,1,1,3
1049245,2017 Q3,1,1,1,3
1049271,2017 Q1,1,1,1,3
1049304,2017 Q2,1,1,1,3
1049326,2017 Q1,1,1,1,3
1050061,2017 Q1,0,0,1,1
1050153,2018 Q2,1,1,1,3
1050219,2016 Q4,0,0,0,0
1050245,2016 Q4,0,0,0,0
1050433,2017 Q1,1,1,1,3
1050467,2016 Q4,0,0,1,1
1050474,2017 Q1,1,1,1,3
1050978,2017 Q1,0,0,1,1
1051379,2017 Q1,1,1,1,3
1051384,2018 Q2,1,1,1,3
1051404,2017 Q4,1,1,1,3
1051426,2017 Q2,1,1,1,3
1051495,2016 Q4,0,0,0,0
1052173,2016 Q4,1,0,0,1
1052346,2017 Q2,1,0,1,2
1052591,2016 Q4,1,0,1,2
1052834,2018 Q2,1,1,1,3
1052910,2018 Q3,1,1,1,3
1052946,2018 Q4,1,0,0,1
1052962,2018 Q4,1,0,1,2
1053133,2016 Q4,1,1,1,3
1053428,2016 Q4,0,1,0,1
1053531,2016 Q4,0,0,1,1
1053582,2017 Q1,1,1,1,3
1053607,2017 Q1,0,1,1,2
1053608,2016 Q4,1,0,1,2
1053937,2018 Q4,1,1,1,3
1053989,2017 Q2,1,0,1,2
1054735,2016 Q4,1,1,1,3
1054773,2016 Q4,1,0,1,2
1054926,2017 Q1,1,1,1,3
1055075,2017 Q1,0,1,0,1
1055078,2016 Q4,1,1,1,3
1055079,2016 Q4,1,1,0,2
1055163,2016 Q4,0,0,0,0
1055164,2017 Q2,1,1,1,3
1055165,2017 Q2,1,1,1,3
1055166,2016 Q4,0,0,0,0
1055170,2017 Q2,1,1,1,3
1055184,2017 Q1,1,1,1,3
1055189,2017 Q2,1,1,1,3
1055190,2017 Q2,1,1,1,3
1055191,2017 Q1,1,0,1,2
1055213,2017 Q1,1,1,1,3
1055216,2017 Q2,1,1,1,3
1055217,2016 Q4,1,0,1,2
1055247,2017 Q2,1,1,0,2
1055250,2017 Q2,1,1,1,3
1055279,2017 Q2,1,0,1,2
1055321,2017 Q2,1,0,1,2
1055322,2017 Q2,1,0,1,2
1055323,2016 Q4,1,0,1,2
1055327,2016 Q4,0,0,1,1
1055343,2017 Q2,1,0,0,1
1055346,2017 Q2,1,1,1,3
1055353,2017 Q2,1,0,1,2
1055354,2016 Q4,1,0,1,2
1055383,2016 Q4,1,0,1,2
1055384,2017 Q2,1,0,1,2
1055386,2017 Q1,1,0,1,2
1055408,2017 Q2,1,1,1,3
1055409,2017 Q1,1,1,1,3
1055410,2017 Q1,1,1,1,3
1055411,2017 Q4,1,1,1,3
1055412,2017 Q2,1,1,1,3
1055427,2017 Q2,1,0,1,2
1055428,2016 Q4,0,0,1,1
1055434,2017 Q1,1,1,1,3
1055435,2017 Q2,1,0,1,2
1055436,2017 Q1,1,0,1,2
1055437,2018 Q2,1,1,1,3
1055438,2017 Q1,1,0,1,2
1055476,2017 Q2,1,0,1,2
1055481,2017 Q2,1,0,1,2
1055490,2016 Q4,1,0,1,2
1055491,2016 Q4,1,0,1,2
1055493,2017 Q2,1,0,1,2
1055494,2017 Q1,1,1,1,3
1055496,2017 Q2,1,0,1,2
1055497,2017 Q2,1,0,1,2
1055504,2017 Q2,1,0,1,2
1055515,2017 Q2,1,0,1,2
1055517,2018 Q3,1,0,1,2
1055518,2017 Q1,1,1,1,3
1055519,2017 Q2,1,0,1,2
1055533,2016 Q4,0,0,1,1
1055535,2017 Q1,1,1,1,3
1055536,2017 Q2,1,0,0,1
1055548,2017 Q2,1,1,1,3
1055549,2016 Q4,1,0,1,2
1055553,2018 Q3,1,1,1,3
1055556,2017 Q2,1,0,1,2
1055557,2017 Q1,1,1,1,3
1055562,2017 Q2,1,1,1,3
1055576,2017 Q2,1,1,1,3
1055591,2017 Q2,1,0,1,2
1055592,2017 Q2,1,0,1,2
1055603,2016 Q4,1,0,1,2
1055643,2017 Q2,1,1,1,3
1055649,2017 Q2,1,1,0,2
1055658,2016 Q4,1,0,1,2
1055659,2017 Q2,0,1,0,1
1055660,2017 Q1,1,0,1,2
1055662,2016 Q4,1,0,0,1
1055667,2017 Q1,1,1,1,3
1055668,2018 Q1,1,1,1,3
1055669,2017 Q1,1,1,1,3
1055670,2018 Q1,1,1,1,3
1055671,2017 Q2,1,0,1,2
1055672,2017 Q2,1,0,1,2
1055673,2017 Q1,1,1,1,3
1055674,2017 Q2,1,1,1,3
1055696,2016 Q4,1,0,1,2
1055700,2017 Q2,1,1,1,3
1055710,2016 Q4,1,0,0,1
1055752,2017 Q2,1,0,1,2
1055772,2017 Q1,1,0,0,1
1055778,2017 Q2,1,0,1,2
1055781,2017 Q2,1,0,1,2
1055813,2017 Q1,1,1,1,3
1055824,2017 Q4,1,1,1,3
1055826,2017 Q1,1,1,1,3
1055842,2017 Q2,1,0,1,2
1055845,2017 Q2,1,0,0,1
1055856,2017 Q2,0,1,1,2
1055858,2017 Q1,1,1,1,3
1055867,2017 Q1,1,1,1,3
1055876,2017 Q2,1,0,0,1
1055882,2016 Q4,1,0,1,2
1055886,2018 Q4,1,0,1,2
1055887,2018 Q1,1,1,1,3
1055888,2017 Q1,1,0,1,2
1055952,2017 Q2,1,0,1,2
1055954,2016 Q4,1,0,1,2
