,Savings,CreditScore,Debt
853,,,
854,0,,27000
855,,,250
856,0,460,
857,,,
858,,,
859,,,
860,,,
861,100,589,33000
862,,,
863,0,300,1300
864,,,
865,,,5000
866,0,,400
867,0,,100
868,0,,
869,0,,
870,,,
871,,,
872,,,
873,0,,
874,,624,2845.81
875,20,507,0
876,,,
877,,,
878,,,
879,0,528,52000
880,200,585,
881,,,
882,3800,,23000
883,,,
884,0,499,12000
885,1,507,1123
886,,,
887,,685,9600
888,,,6370
889,,,
890,5000,,
891,0,,2000
892,,,
893,,,
894,150,,
895,,,
896,,,
897,,,
898,,,
899,,,
900,,,5000
901,0,,4500
902,,,
903,,,
904,,,
905,40,547,7704
906,,,
907,,,
908,,,
909,25,525,3595
910,,,
911,,,
912,,,
913,6350,700,222700
914,,,
915,,,
916,,,
917,,,
918,,,
919,,,
920,5,,700
921,,,
922,200,550,
923,,,
924,,,600
925,,,
926,,,
927,,,
928,,,7800
929,,,
930,0,598,
931,,,
932,,,
933,,,
934,,,
935,,,
936,,,
937,0,,
938,0,580,
939,,,
940,,584,
941,0,,65000
942,,531,2000
943,,545,
944,,600,
945,0,513,
946,1,578,2800
947,,,
948,,,
949,,560,
950,1,709,20587
951,0,590,5000
952,0,,
953,,,
954,0,553,3237
955,,,
956,,,
957,,,
958,0,,500
959,0,,
960,,,7000
961,,,
962,0,490,
963,,,
964,0,405,17578
965,,,
966,,,3000
967,0,573,20000
968,0,580,
969,,,
970,,,
971,,,
972,,,
973,0,,
974,,550,
975,0,,
976,0,,
977,,,900
978,0,,
979,0,,
980,,,
981,4000,,3400
982,0,625,
983,0,,
984,,,
985,0,,
986,,,
987,0,605,
988,0,425,60500
989,,,
990,,,
991,,,
992,0,,
993,0,580,
994,,,3500
995,0,,
996,0,420,
997,0,,
998,0,516,606
999,0,,
1000,0,,
1001,0,,
1002,0,,
1003,,,
1004,0,,
1005,0,,
1006,0,,
1007,,,
1008,0,,
1009,,,
1010,0,540,10000
1011,,,
1012,0,534,
1013,,,
1014,0,,
1015,,,
1016,,,
1017,,,
1018,,,
1019,,,
1020,,,
1021,,,
1022,,,
1023,,,
1024,,,
1025,0,,
1026,,,
1027,0,,
1028,,,
