,BenefitsScreening,PublicBenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
351,No,,Yes,Yes,No,No,1
352,No,,Yes,Yes,No,No,1
353,No,,Yes,Yes,No,Yes,2
354,No,,Yes,Yes,No,Yes,2
355,No,,Yes,Yes,No,No,1
356,No,,Yes,Yes,No,No,1
357,No,,Yes,Yes,No,No,1
358,No,,Yes,Yes,No,No,1
359,No,,Yes,Yes,No,No,1
360,No,,Yes,Yes,No,No,1
361,No,,Yes,Yes,No,Yes,2
362,No,,Yes,Yes,No,Yes,2
363,No,,Yes,Yes,No,No,1
364,No,,Yes,Yes,No,Yes,2
365,No,,Yes,Yes,No,Yes,2
366,No,,Yes,Yes,No,Yes,2
367,No,,Yes,Yes,No,No,1
368,No,,Yes,Yes,No,No,1
369,No,,Yes,Yes,No,No,1
370,Yes,No,Yes,Yes,Yes,Yes,3
371,Yes,No,Yes,Yes,Yes,Yes,3
372,No,,Yes,Yes,No,No,1
373,No,,Yes,Yes,No,No,1
374,No,,Yes,Yes,No,No,1
375,No,,Yes,Yes,No,No,1
376,No,Yes,Yes,Yes,No,Yes,2
377,No,,Yes,Yes,No,No,1
378,No,,Yes,Yes,No,No,1
379,No,,Yes,Yes,No,No,1
380,No,,Yes,Yes,No,No,1
381,No,,Yes,Yes,No,No,1
382,No,Yes,Yes,Yes,No,No,1
383,No,,Yes,Yes,No,No,1
384,No,,Yes,Yes,No,No,1
385,No,Yes,Yes,Yes,No,No,1
386,No,Yes,Yes,Yes,No,Yes,2
387,No,,Yes,Yes,No,No,1
388,No,,Yes,Yes,No,No,1
389,No,No,Yes,Yes,No,Yes,2
390,No,,Yes,Yes,No,No,1
391,No,,Yes,Yes,No,No,1
392,No,,Yes,Yes,No,No,1
393,No,,Yes,Yes,No,No,1
394,No,,Yes,Yes,No,No,1
395,No,,Yes,Yes,No,No,1
396,No,No,Yes,Yes,No,No,1
397,No,,Yes,Yes,No,No,1
398,No,,Yes,Yes,No,No,1
399,No,,Yes,Yes,No,No,1
400,No,,Yes,Yes,No,No,1
401,No,,Yes,Yes,No,No,1
402,No,,Yes,Yes,No,No,1
403,No,,Yes,Yes,No,No,1
404,No,,Yes,Yes,No,No,1
405,No,,Yes,Yes,No,Yes,2
406,No,,Yes,Yes,No,Yes,2
407,No,,Yes,Yes,No,No,1
408,No,,Yes,Yes,No,No,1
409,No,,Yes,Yes,No,No,1
410,No,No,Yes,Yes,No,Yes,2
411,No,,Yes,Yes,No,Yes,2
412,No,,Yes,Yes,No,No,1
413,No,,Yes,Yes,No,No,1
414,No,,Yes,Yes,No,Yes,2
415,No,,Yes,Yes,No,Yes,2
416,No,,Yes,Yes,No,Yes,2
