,Savings,CreditScore,Debt
750,0,0,0
751,0,0,0
752,,,
753,0,0,0
754,,,
755,,,
756,5000,0,700
757,0,0,0
758,0,0,0
759,,,
760,0,0,0
761,0,0,0
762,0,0,0
763,0,0,0
764,0,0,0
765,0,0,0
766,0,478,35500
767,0,0,0
768,0,0,0
769,0,0,0
770,0,0,0
771,,,
772,20000,705,400
773,0,0,0
774,0,0,0
775,0,0,0
776,125,729,14041
777,0,0,0
778,0,0,0
779,4800,703,700
780,0,0,0
781,0,0,0
782,0,0,0
783,0,0,0
784,0,0,0
785,,,
786,,,
787,0,0,7000
788,0,0,0
789,0,0,0
790,0,0,0
791,0,0,0
792,,,
793,,,
794,,,
795,0,0,0
796,0,0,0
797,0,0,0
798,0,0,0
799,250,560,5000
800,2000,538,3250
801,0,0,0
802,,,
803,0,0,0
804,0,0,0
805,0,,
806,,,
807,0,0,0
808,0,0,0
809,0,0,0
810,0,0,0
811,0,0,0
812,0,0,0
813,0,0,0
814,0,0,0
815,,,
816,0,0,0
817,,,
818,0,0,0
819,0,0,0
820,,,
821,0,0,0
822,0,0,0
823,0,0,0
824,0,0,0
825,700,0,3400
826,0,0,0
827,,,
828,0,0,0
829,0,0,0
830,0,0,0
831,0,0,0
832,,,
833,,,
834,,,
835,,,
836,,,
837,0,0,0
838,0,0,0
839,,,
840,,,
841,,,
842,,,
843,0,,
844,300,0,0
845,,,
846,,,
847,,,
848,,,
849,,,
850,,,
851,,,
852,0,0,0
853,,,
854,,,
855,,,
856,,,
857,,,
858,,,
859,,,
860,,,
861,,,
862,,,
863,,,
864,,,
865,0,0,0
866,,,
867,,,
868,,,
869,,,
870,,,
871,,,
872,,,
873,,,
874,,,
875,,,
876,,,
877,,,
878,,,
879,,,
880,30000,790,140000
881,,719,
882,,,
883,,,
884,8000,,
885,,,
886,,,
887,,500,22000
888,,,
889,,,
890,,,
891,5000,,
892,,,
893,,,
894,175000,,8000
895,0,320,12000
896,,,
897,,,
898,,,
899,,,
900,,,
901,,,
902,,,
903,,,
904,0,645,
905,,,
906,,,
907,,,
908,,,
909,,,
910,73000,,0
911,,,
912,,,
913,,450,
914,100,,
915,,,
916,0,622,
917,,,
918,,570,
919,,791,
920,,,
921,,,
922,13000,750,
923,,600,
924,0,,5000
925,,,
926,,,
927,,,
928,70000,830,
929,50000,,
930,,561,
931,,,
932,14000,,
933,,810,
934,,,
935,3000,798,
936,,,
937,1500,645,
938,,760,
939,,,
940,90000,800,
941,0,500,
942,,,
943,,,
944,,730,
945,60000,785,
946,,,
947,,,
948,5000,,
949,10000,,
950,,,
951,,,
952,,,
953,,770,
954,,,
955,,,
956,1000,650,
957,,,
958,500,,500
959,3468,752,2241
960,4000,,
961,,,
962,,,
963,,,
964,,,
965,,,
966,,730,105000
967,0,,10000
968,,,
969,0,737,13300
970,,,
971,,,
972,,520,
973,,,
974,,,
975,,,
976,,,
977,,,
978,,,
979,,,
980,,,
981,,,
982,,,
983,,,
984,,,
985,,805,700
986,,,
987,,,
988,,,
989,,,
990,57000,,7000
991,0,760,45000
992,,,
993,,,
994,20000,700,20000
995,0,,
996,0,700,33000
997,,,
998,1000,718,7500
999,500,842,
1000,,,
1001,0,654,1400
1002,3600,,
1003,20000,800,
1004,,,
1005,,,
1006,,,
1007,,580,
1008,,,
1009,,,
1010,8000,,
1011,,,
1012,,,
1013,,,
1014,,,
1015,,,
1016,,,
1017,,,
1018,,,
1019,,,
1020,,,
1021,,,
1022,,,
1023,,,
1024,,,
1025,,,
1026,,,
1027,20000,760,7000
1028,100,,
1029,,,
1030,,,
1031,,,
1032,,,
1033,,,
1034,,,
1035,,,
1036,,,
1037,,,
1038,,,
1039,,,
1040,,,
1041,,,
1042,,,
1043,,,
1044,,,
1045,,,
1046,,,
1047,,,
1048,,,
1049,,,
1050,,,
1051,,,
1052,,,
1053,,,
1054,,,
1055,,,
1056,,,
1057,,,
1058,,500,22000
1059,70000,830,
1060,,,
1061,50000,,
1062,,810,
1063,,,
1064,,,
1065,,,
1066,5000,,
1067,,,
1068,,,
1069,60000,785,
1070,5000,,
1071,,,
1072,,,
1073,,,
1074,,,
1075,,,
1076,,,
1077,,,
1078,,,
1079,,,
1080,,,
1081,175000,,8000
1082,73000,,0
1083,,,
1084,,,
1085,,,
1086,,,
1087,,,
1088,,,
1089,,,
1090,,,
1091,,,
1092,,,
1093,,,
1094,,,
1095,,,
1096,,,
1097,,791,
1098,,,
1099,,,
1100,,,
1101,,,
1102,,,
1103,0,320,12000
1104,,,
1105,,,
1106,,,
1107,,,
1108,,,
1109,,,
1110,,,
1111,,,
1112,,,
1113,,,
1114,0,645,
1115,,,
1116,,,
1117,,,
1118,,,
1119,,,
1120,,,
1121,,,
1122,,,
1123,,,
1124,,,
1125,,,
1126,,,
1127,,,
1128,,,
1129,,,
1130,500,,
1131,,,
1132,,,
1133,7000,,
1134,,,
1135,,,
1136,,,
1137,,,
1138,,,
1139,,,
1140,,,
1141,,,
1142,,,
1143,,450,
1144,,,
1145,30000,790,140000
1146,,,
1147,,,
1148,,,
1149,,,
1150,,,
1151,,,
1152,,,
1153,,,
1154,,,
1155,,,
1156,0,622,
1157,,,
1158,,,
1159,,,
1160,2307,716,22955
1161,,,
1162,,,
1163,,570,
1164,,,
1165,,,
1166,,,
1167,,,
1168,,,
1169,,437,
1170,,,
1171,,,
1172,,,
1173,,,
1174,,,
1175,,,
1176,,,
1177,,,
1178,,,
1179,,,
1180,,,
1181,,,
1182,,,
1183,,,
1184,,,
1185,,,
1186,,,
1187,,,
1188,0,649,29823
1189,,,
1190,,,
1191,,,
1192,13000,750,
1193,,719,
1194,,600,
1195,0,,5000
1196,,,
1197,,,
1198,,,
1199,,561,
1200,,,
1201,14000,,
1202,,,
1203,3000,798,
1204,,,
1205,1500,645,
1206,,760,
1207,,,
1208,90000,800,
1209,0,500,
1210,,,
1211,,730,
1212,,,
1213,,,
1214,10000,,
1215,,,
1216,,,
1217,,,
1218,,770,
1219,,,
1220,1000,650,
1221,500,,20000
1222,3468,752,2241
1223,4000,,
1224,,,
1225,,,
1226,,,
1227,,,
1228,,730,105000
1229,0,,10000
1230,,,
1231,0,737,15478
1232,,,
1233,,,
1234,,520,
1235,,,
1236,,,
1237,,,
1238,,,
1239,,,
1240,,,
1241,,,
1242,,,
1243,,,
1244,,805,700
1245,,,
1246,,,
1247,,,
1248,57000,,7000
1249,0,760,55000
1250,,,
1251,,,
1252,20000,700,20000
1253,0,,
1254,0,700,33000
1255,,,
1256,1000,718,7500
1257,500,842,
1258,,,
1259,0,654,1400
1260,3600,,
1261,20000,800,
1262,,,
1263,,,
1264,,,
1265,,580,
1266,,,
1267,,,
1268,,,
1269,,609,15981
1270,0,655,11208
1271,,550,74914
1272,,520,40771
1273,,572,13164
1274,,624,21456
1275,,,
1276,,585,1877
1277,,,
1278,10,,
1279,,572,26444
1280,,511,97401
1281,,591,189223
1282,,,
1283,5,559,93543
1284,0,482,88532
1285,,,
1286,,510,20526
1287,,,
1288,,662,76112
1289,,578,18389
1290,,502,38674
1291,,649,86472
1292,,656,195.01
1293,,543,14281
1294,,611,16071
1295,200,,
1296,11,,
1297,,641,5200
1298,,569,20432
1299,0,547,48305
1300,0,547,48305
1301,5,,
1302,,,
1303,1000,758,741
1304,,,
1305,,522,157077
1306,0,711,1175
1307,,483,113823
1308,,560,5832
1309,,599,2727
1310,,697,4213
1311,,722,50575
1312,,577,19182
1313,0,551,22357
1314,,538,18122
1315,0,,0
1316,,576,12003
1317,,,
1318,,,0
1319,,,
1320,0,,
1321,,,
1322,,,
1323,,506,119379
1324,0,526,11456
1325,35,,900
1326,,509,5611
1327,,,
1328,,,
1329,,542,6633
1330,,,
1331,0,,
1332,,789,21498
1333,,496,61986
1334,6,449,70528
1335,,,
1336,,533,16712
1337,,573,24840
1338,0,608,4527
1339,25,493,962
1340,,,
1341,323.77,561,50348
1342,,519,52458
1343,,718,15014
1344,,546,13235
1345,,,
1346,,592,2136
1347,0,,
1348,1000,,
1349,800,709,29973
1350,,550,98570
1351,0,,8373.12
1352,,,294
1353,0,609,101838
1354,,,
1355,25,,
1356,0,,
1357,39,570,88768
1358,,470,22175
1359,,,
1360,,,
1361,,672,93104
1362,,468,8168
1363,0,523,17437
1364,,,
1365,,737,114310
1366,,,
1367,,537,1791
1368,,,
1369,,520,8207
1370,,,
1371,,,
1372,,465,148454
1373,0,668,265
1374,0,428,9911
1375,,446,21340
1376,,477,109928
1377,,734,48628
1378,,490,56108
1379,100,564,10593
1380,,538,102
1381,,492,56278
1382,0,521,24474
1383,,507,54845
1384,,560,16269
1385,0,522,5951
1386,,593,1270
1387,0,514,2264
1388,,457,4850
1389,,494,79134
1390,0,513,36182
1391,,620,11013
1392,,512,5776
1393,0,,
1394,,487,19689
1395,,,
1396,,559,49887
1397,0,670,20690
1398,,,
1399,,,
1400,0,756,0
1401,,,
1402,0,,
1403,,642,3
1404,0,547,59570
1405,,504,41121
1406,,665,8171
1407,0,,
1408,600,,
1409,,,
1410,,544,48194
1411,,,
1412,,644,0
1413,,539,4915
1414,,,
1415,,548,7854
1416,,,
1417,,738,41705
1418,,629,414
1419,,536,64354
1420,,,
1421,,,
1422,2600,674,106222
1423,,,
1424,,584,2327
1425,,489,42565
1426,,,
1427,,582,2317
1428,,,
1429,,484,67135
1430,16,,
1431,,,
1432,,763,103678
1433,,513,11033
1434,240,644,
1435,,,
1436,10,,
1437,,,
1438,,496,16235
1439,,702,151269
1440,,,
1441,,,
1442,,,0
1443,,476,52586
1444,,640,100133
1445,,,0
1446,,,
1447,,551,22951
1448,,,
1449,,466,15261
1450,,,
1451,,486,78045
1452,,554,274
1453,,583,14439
1454,,572,91805
1455,,,
1456,,,
1457,,,258
1458,,607,12452
1459,,730,5119
1460,,513,34816
1461,,470,35666
1462,,,
1463,,,
1464,,,
1465,,,
1466,20,,
1467,,,
1468,,488,5353
1469,,,
1470,,580,101900
1471,,520,17290
1472,,536,16732
1473,,,
1474,,459,6685
1475,,,
1476,,574,2582
1477,43,478,31614
1478,,636,12659
1479,,,
1480,,,
1481,,,
1482,,,
1483,,576,9692
1484,,576,9692
1485,,506,70160
1486,,,
1487,,,
1488,,,
1489,,495,11300
1490,,,
1491,0,520,10000
1492,0,,65000
1493,0,500,1700
1494,0,475,25000
1495,25,567,35000
1496,50,520,3000
1497,,585,10000
1498,0,,0
1499,25,,0
1500,200,592,0
1501,,460,
1502,,,
1503,1000,699,10000
1504,,568,
1505,50,583,34600
1506,0,,8000
1507,25,525,1000
1508,364,740,14325
1509,0,,
1510,,,
1511,0,,5000
1512,0,,
1513,65000,,2000
1514,0,,6000
1515,100,,0
1516,500,,0
1517,0,580,1200
1518,80,,
1519,,,0
1520,,,
1521,1500,738,0
1522,50,800,90000
1523,0,,350000
1524,,,
1525,5,595,6000
1526,0,,
1527,1000,536,2035
1528,,620,
1529,0,,4000
1530,0,,5000
1531,0,,6000
1532,0,,3000
1533,25,,0
1534,200,,
1535,50,605,25000
1536,,683,
1537,6,,70000
1538,0,736,7000
1539,200,538,3000
1540,0,513,4000
1541,150,,50000
1542,,,
1543,10000,694,350000
1544,200,503,1000
1545,0.13,,5769
1546,,,
1547,0,615,
1548,0,535,500000
1549,,534,
1550,1000,,80000
1551,400,700,1000
1552,15000,,15000
1553,194,,
1554,10000,,16000
1555,0,,2700
1556,0,520,10500
1557,201,,160000
1558,14000,700,14000
1559,1,,50000
1560,,,
1561,0,740,26000
1562,14,,
1563,0,,50000
1564,0,,25000
1565,0,,0
1566,,477,
1567,7500,720,225000
1568,,,
1569,8,,2000
1570,4000,640,0
1571,102,530,15780
1572,,,800
1573,350,,0
1574,0,674,5000
1575,0,,18000
1576,0,644,6000
1577,0,572,24000
1578,43,680,1150
1579,,,
1580,0,823,
1581,5,483,
1582,0,,350000
1583,,,
1584,200,503,1000
1585,200,538,3000
1586,,,
1587,1500,,
1588,,,
1589,210,527,0
1590,,,
1591,,,
1592,,580,
1593,1500,512,
1594,2529,,
1595,,,
1596,,,
1597,,,
1598,27000,,
1599,,,
1600,,,
1601,0,,
1602,0,545,
1603,0,500,1400
1604,,,
1605,,,
1606,5000,813,
1607,,,
1608,0,561,
1609,0,,
1610,500,502,
1611,,,
1612,0,,
1613,0,,
1614,0,,
1615,0,520,12450
1616,,612,
1617,0,,
1618,0,,
1619,0,520,
1620,,459,
1621,0,630,
1622,0,582,
1623,0,700,
1624,,475,
1625,,,
1626,,682,
1627,,,
1628,5000,,
1629,400,745,
1630,,,
1631,0,460,
1632,2000,705,
1633,800,568,
1634,500,400,
1635,,,
1636,,602,
1637,200,646,
1638,200.67,693,
1639,75,578,
1640,,,
1641,0,680,
1642,,,
1643,0,520,
1644,0,532,
1645,,,
1646,0,,
1647,1000,740,
1648,,,
1649,,,
1650,0,565,
1651,180,778,
1652,30,400,
1653,,,
1654,0,,
1655,5000,,
1656,200,620,
1657,,572,
1658,,,
1659,,615,
1660,0,607,
1661,0,,
1662,0,,
1663,0,,
1664,,620,
1665,0,,
1666,0,644,
1667,0,,
1668,0,,
1669,,,
1670,,,
1671,0,,
1672,1200,748,
1673,,,
1674,1000,699,
1675,,,
1676,0,,
1677,100,,
1678,0,,
1679,0,590,
1680,18000,829,
1681,,365,
1682,0,,
1683,,,
1684,,750,
1685,25,525,
1686,200,,
1687,3000,,
1688,0,736,
1689,20,,
1690,0,,
1691,500,,
1692,0,568,
1693,10000,,
1694,,,
1695,0,,
1696,102,530,
1697,50,605,25000
1698,,,
1699,,,
1700,0,,
1701,,,
1702,8,,
1703,0,620,
1704,0,674,
1705,14000,700,
1706,,,800
1707,43,680,1150
1708,,,
1709,6,,
1710,200,,
1711,0,,
1712,194,,
1713,150,,50000
1714,,683,
1715,50,583,34600
1716,0,,0
1717,0,740,26000
1718,100,,0
1719,0,615,
1720,364,740,14325
1721,15000,,15000
1722,25,,0
1723,7500,720,225000
1724,0,,5000
1725,0,513,4000
1726,,568,
1727,0.13,,5769
1728,0,,6000
1729,0,572,24000
1730,,,0
1731,,,
1732,201,,160000
1733,4000,640,0
1734,1,,50000
1735,1500,738,0
1736,65000,,2000
1737,,,
1738,14,,
1739,0,535,500000
1740,,534,
1741,,,
1742,0,,50000
1743,0,,5000
1744,,,
1745,0,580,1200
1746,1000,,80000
1747,0,,
1748,5,595,6000
1749,50,800,90000
1750,,,
1751,,477,
1752,80,,
