,Wages1,Hours1,Wages2,Hours2
965,0,0,,
966,0,0,,
967,0,0,,
968,0,0,,
969,0,0,,
970,0,0,,
971,0,0,,
972,0,0,,
973,0,0,,
974,0,0,,
975,0,0,,
976,0,0,,
977,0,0,,
978,0,0,,
979,0,0,,
980,0,0,,
981,0,0,,
982,0,0,,
983,0,0,,
984,0,0,,
985,0,0,,
986,0,0,,
987,0,0,,
988,0,0,,
989,0,0,,
990,0,0,,
991,0,0,,
992,0,0,,
993,0,0,,
994,0,0,,
995,0,0,,
996,0,0,,
997,0,0,,
998,0,0,,
999,0,0,,
1000,0,0,,
1001,0,0,,
1002,0,0,,
1003,0,0,,
1004,0,0,,
1005,0,0,,
1006,0,0,,
1007,0,0,,
1008,0,0,,
1009,0,0,,
1010,31.25,40,,
1011,11.5,37,,
1012,9,20,,
1013,45,36,,
1014,13,40,,
1015,13,16,,
1016,25,15,,
1017,20,9,,
1018,15,40,,
1019,40,37,,
1020,40,30,,
1021,16.5,40,,
1022,28.85,40,,
1023,35.58,40,,
1024,16.25,30,,
1025,20,20,,
1026,60,40,,
1027,33,40,,
1028,10,32,,
1029,12,30,,
1030,12,40,,
1031,11.48,35,,
1032,12,25,,
1033,70,40,,
1034,73,40,,
1035,50,40,,
1036,50,14,,
1037,15,29,,
1038,15,50,,
1039,15,40,,
1040,15,30,,
1041,12,40,,
1042,11,28,,
1043,15,40,,
1044,12,40,,
1045,13.5,30,,
1046,15,35,,
1047,20,40,,
1048,19.23,40,,
1049,19,40,,
1050,37,40,,
1051,9,28,,
1052,52,40,,
1053,15,40,,
1054,30,40,,
1055,40,40,,
1056,12,40,,
1057,50,40,,
1058,32.74,40,,
1059,38.46,40,,
1060,72.11,40,,
1061,14,40,,
1062,15,37,,
1063,13,44,,
1064,12.5,37,,
1065,17,27,,
1066,13,40,,
1067,56.73,40,,
1068,33.65,40,,
1069,45,40,,
1070,20,30,,
1071,20,35,,
1072,28.85,40,,
1073,31.25,40,,
1074,23,40,,
1075,20,40,,
1076,20,36,,
1077,20,25,,
1078,10,25,,
1079,10.5,30,,
1080,30,12,,
1081,15.62,20,,
1082,10.41,24,,
1083,10,10,,
1084,35,40,,
1085,11,40,,
1086,25,40,,
1087,20,20,,
1088,15,20,,
1089,11,40,,
1090,30,20,,
1091,21,9,,
1092,15,16,,
1093,12,40,,
1094,13,14,,
1095,10,15,,
1096,10,20,,
1097,24,40,,
1098,10,20,,
1099,15,25,,
1100,10,30,,
1101,11,15,,
1102,7.25,18,,
1103,22,40,,
1104,10,23,,
1105,25,20,,
1106,10,20,,
1107,35,5,,
1108,10,40,,
1109,11,40,,
1110,13,8,,
1111,10,4,,
1112,15,20,,
1113,10,6,,
1114,15,30,,
1115,10.5,32,,
1116,50,10,,
1117,8.8,28,,
1118,0,0,,
1119,0,0,,
1120,0,0,,
1121,0,0,,
1122,0,0,,
1123,0,0,,
1124,0,0,,
1125,0,0,,
1126,0,0,,
1127,0,0,,
1128,0,0,,
1129,0,0,,
1130,0,0,,
1131,0,0,,
1132,0,0,,
1133,0,0,,
1134,0,0,,
1135,0,0,,
1136,0,0,,
1137,0,0,,
1138,0,0,,
1139,0,0,,
1140,0,0,,
1141,0,0,,
1142,0,0,,
1143,0,0,,
1144,0,0,,
1145,0,0,,
1146,0,0,,
1147,0,0,,
1148,0,0,,
1149,0,0,,
1150,0,0,,
1151,0,0,,
1152,0,0,,
1153,0,0,,
1154,0,0,,
1155,0,0,,
1156,0,0,,
1157,0,0,,
1158,0,0,,
1159,0,0,,
1160,0,0,,
1161,0,0,,
1162,0,0,,
1163,0,0,,
1164,0,0,,
1165,0,0,,
1166,0,0,,
1167,0,0,,
1168,0,0,,
1169,0,0,,
1170,0,0,,
1171,0,0,,
1172,0,0,,
1173,0,0,,
1174,0,0,,
1175,0,0,,
1176,0,0,,
1177,0,0,,
1178,0,0,,
1179,0,0,,
1180,0,0,,
1181,0,0,,
1182,0,0,,
1183,0,0,,
1184,0,0,,
1185,0,0,,
1186,0,0,,
1187,0,0,,
1188,0,0,,
1189,0,0,,
1190,0,0,,
1191,0,0,,
1192,0,0,,
1193,0,0,,
1194,0,0,,
1195,0,0,,
1196,0,0,,
1197,0,0,,
1198,0,0,,
1199,0,0,,
1200,0,0,,
1201,0,0,,
1202,0,0,,
1203,0,0,,
1204,0,0,,
1205,0,0,,
1206,0,0,,
1207,0,0,,
1208,0,0,,
1209,0,0,,
1210,0,0,,
1211,0,0,,
1212,0,0,,
1213,0,0,,
1214,0,0,,
1215,0,0,,
1216,0,0,,
1217,0,0,,
1218,0,0,,
1219,0,0,,
1220,0,0,,
1221,0,0,,
1222,0,0,,
1223,0,0,,
1224,0,0,,
1225,0,0,,
1226,0,0,,
1227,0,0,,
1228,0,0,,
1229,0,0,,
1230,0,0,,
1231,0,0,,
1232,0,0,,
1233,0,0,,
1234,0,0,,
1235,0,0,,
1236,0,0,,
1237,0,0,,
1238,0,0,,
1239,0,0,,
1240,0,0,,
1241,0,0,,
1242,0,0,,
1243,0,0,,
1244,0,0,,
1245,0,0,,
1246,0,0,,
1247,0,0,,
1248,0,0,,
