,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
416,2.0,0.0,1.0,0.0,0.0
417,,,,,
418,,,,,
419,,,,,
420,,,,,
421,,,,,
422,,,,,
423,,,,,
424,,,,,
425,,,,,
426,,,,,
427,,,,,
428,2.0,0.0,0.0,0.0,0.0
429,,,,,
430,,,,,
431,2.0,0.0,1.0,1.0,1.0
432,1.0,0.0,0.0,0.0,0.0
433,1.0,0.0,0.0,0.0,0.0
434,,,,,
435,,,,,
436,1.0,0.0,0.0,1.0,0.0
437,,,,,
438,2.0,0.0,0.0,0.0,0.0
439,2.0,0.0,0.0,0.0,0.0
440,1.0,0.0,0.0,0.0,0.0
441,1.0,0.0,0.0,0.0,0.0
442,,,,,
443,2.0,0.0,0.0,0.0,0.0
444,2.0,0.0,0.0,0.0,0.0
445,,,,,
446,,,,,
447,2.0,1.0,1.0,1.0,0.0
448,2.0,1.0,1.0,1.0,0.0
449,2.0,0.0,0.0,0.0,0.0
450,2.0,0.0,0.0,0.0,0.0
451,2.0,0.0,0.0,0.0,0.0
452,2.0,0.0,0.0,0.0,0.0
453,2.0,1.0,0.0,1.0,0.0
454,2.0,1.0,0.0,1.0,0.0
455,2.0,0.0,0.0,1.0,0.0
456,2.0,0.0,0.0,1.0,0.0
457,2.0,1.0,0.0,0.0,0.0
458,2.0,1.0,0.0,0.0,0.0
459,2.0,1.0,0.0,0.0,0.0
460,2.0,1.0,0.0,0.0,0.0
461,2.0,0.0,0.0,0.0,0.0
462,2.0,0.0,0.0,0.0,0.0
463,1.0,0.0,0.0,0.0,0.0
464,1.0,0.0,0.0,0.0,0.0
465,2.0,0.0,0.0,0.0,0.0
466,2.0,0.0,0.0,0.0,0.0
467,2.0,0.0,0.0,0.0,0.0
468,2.0,0.0,0.0,0.0,0.0
469,2.0,0.0,0.0,0.0,0.0
470,2.0,0.0,0.0,0.0,0.0
471,2.0,0.0,0.0,0.0,0.0
472,2.0,0.0,0.0,0.0,0.0
473,2.0,0.0,0.0,0.0,0.0
474,2.0,0.0,0.0,0.0,0.0
475,1.0,0.0,0.0,0.0,0.0
476,1.0,0.0,0.0,0.0,0.0
477,2.0,0.0,1.0,1.0,1.0
478,2.0,0.0,1.0,1.0,1.0
479,1.0,0.0,0.0,0.0,0.0
480,1.0,0.0,0.0,0.0,0.0
481,1.0,0.0,1.0,0.0,0.0
482,1.0,0.0,1.0,0.0,0.0
483,1.0,0.0,0.0,0.0,1.0
484,1.0,0.0,0.0,0.0,1.0
485,2.0,0.0,0.0,1.0,0.0
486,2.0,0.0,0.0,1.0,0.0
487,2.0,1.0,0.0,0.0,0.0
488,2.0,1.0,0.0,0.0,0.0
489,0.0,0.0,0.0,0.0,1.0
490,0.0,0.0,0.0,0.0,1.0
491,2.0,0.0,0.0,0.0,0.0
492,2.0,0.0,0.0,0.0,0.0
493,2.0,1.0,1.0,0.0,0.0
494,2.0,1.0,1.0,0.0,0.0
495,,,,,
496,,,,,
497,,,,,
498,,,,,
499,,,,,
500,,,,,
501,,,,,
502,,,,,
503,,,,,
504,,,,,
505,,,,,
506,,,,,
507,,,,,
508,,,,,
509,,,,,
510,,,,,
511,,,,,
512,,,,,
513,,,,,
514,,,,,
515,,,,,
516,,,,,
517,,,,,
518,2.0,0.0,1.0,0.0,0.0
519,1.0,1.0,0.0,0.0,1.0
520,,,,,
521,1.0,0.0,0.0,0.0,1.0
522,,,,,
523,,,,,
524,,,,,
525,,,,,
526,,,,,
527,,,,,
528,2.0,0.0,0.0,0.0,1.0
529,1.0,1.0,0.0,0.0,1.0
530,0.0,0.0,0.0,0.0,0.0
531,1.0,0.0,0.0,0.0,1.0
532,2.0,1.0,1.0,0.0,0.0
533,,,,,
534,,,,,
535,,,,,
536,,,,,
537,,,,,
538,,,,,
539,,,,,
540,,,,,
541,,,,,
542,,,,,
543,,,,,
544,,,,,
545,,,,,
546,,,,,
547,,,,,
548,,,,,
549,,,,,
550,,,,,
551,,,,,
552,,,,,
553,,,,,
554,,,,,
555,,,,,
556,,,,,
557,,,,,
558,,,,,
559,,,,,
560,,,,,
561,,,,,
562,,,,,
563,,,,,
564,,,,,
565,,,,,
566,2.0,0.0,1.0,0.0,0.0
567,,,,,
568,,,,,
569,,,,,
570,1.0,0.0,0.0,1.0,0.0
571,2.0,0.0,0.0,0.0,0.0
572,0.0,0.0,0.0,0.0,0.0
573,0.0,0.0,0.0,1.0,0.0
574,,,,,
575,,,,,
576,,,,,
577,,,,,
578,,,,,
579,,,,,
580,,,,,
581,,,,,
582,1.0,1.0,0.0,0.0,1.0
583,1.0,0.0,0.0,0.0,0.0
584,1.0,0.0,0.0,1.0,0.0
585,1.0,0.0,0.0,0.0,1.0
586,,,,,
587,,,,,
588,,,,,
589,,,,,
590,,,,,
591,,,,,
592,,,,,
593,,,,,
594,,,,,
595,,,,,
596,,,,,
597,,,,,
598,,,,,
599,,,,,
600,,,,,
601,,,,,
602,,,,,
