,AccessEmployment,EmploymentStatus,EmploymentStartDate,EmploymentRetention,JobTrainingEnrolled,JobTrainingCompleted
472,1,1,2019-03-22 00:00:00,0.0,1,1
473,1,1,2019-03-22 00:00:00,0.0,1,1
474,1,1,2019-03-22 00:00:00,0.0,1,1
475,1,1,2019-03-29 00:00:00,0.0,1,1
476,1,1,2019-03-29 00:00:00,0.0,1,1
477,0,3,,,0,0
478,0,3,,,0,0
479,1,3,,,1,1
480,1,3,,,1,1
481,1,3,,,1,1
482,1,3,,,1,1
483,1,3,,,1,1
484,1,3,,,1,1
485,1,1,2019-01-01 00:00:00,0.0,1,1
486,1,1,2019-01-01 00:00:00,0.0,1,1
487,1,3,,,1,1
488,1,3,,,1,1
489,1,3,,,1,1
490,1,3,,,1,1
491,1,3,,,1,1
492,1,3,,,1,1
493,0,3,,,0,0
494,0,3,,,0,0
495,0,3,,0,0,0
496,0,1,2018-03-01 00:00:00,0,0,0
497,0,2,2016-11-01 00:00:00,0,0,0
498,0,1,2015-10-15 00:00:00,0,0,0
499,0,3,,0,0,0
500,0,1,2018-10-22 00:00:00,0,0,0
501,0,1,2014-07-10 00:00:00,0,0,0
502,0,2,2015-03-01 00:00:00,0,0,0
503,0,1,2016-11-10 00:00:00,0,0,0
504,0,1,2018-07-19 00:00:00,0,0,0
505,0,3,,0,0,0
506,0,2,2018-07-17 00:00:00,0,0,0
507,0,1,2018-04-26 00:00:00,0,0,0
508,0,3,,0,0,0
509,0,1,2018-01-22 00:00:00,0,0,0
510,1,1,2019-01-07 00:00:00,0,0,0
511,1,1,2019-03-21 00:00:00,0,0,0
512,0,1,2015-08-04 00:00:00,0,0,0
513,0,1,2017-10-09 00:00:00,0,0,0
514,0,1,2018-03-19 00:00:00,0,0,0
515,0,1,2009-09-28 00:00:00,0,0,0
516,1,2,2019-02-21 00:00:00,0,0,0
517,0,1,2018-08-13 00:00:00,0,0,0
518,1,3,,0,1,0
519,0,2,2019-03-25 00:00:00,0,0,1
520,1,3,,0,1,0
521,0,2,,0,0,0
522,0,2,2012-09-01 00:00:00,0,0,0
523,0,3,,0,0,0
524,0,3,,0,0,0
525,0,3,,0,0,0
526,0,3,,0,0,0
527,0,2,2019-02-01 00:00:00,0,0,0
528,1,3,,0,0,0
529,0,3,,0,0,0
530,0,3,,0,0,0
531,0,1,,0,0,0
532,0,1,,0,0,0
533,1,1,,0,0,0
534,0,1,,0,0,0
535,0,1,,0,0,0
536,0,3,,0,0,0
537,0,2,,0,0,0
538,0,3,,0,0,0
539,1,1,2019-03-28 00:00:00,0,0,0
540,1,3,,0,0,0
541,0,3,,0,0,0
542,0,3,,0,0,0
543,0,3,,0,0,0
544,0,3,,0,0,0
545,0,3,,0,0,0
546,0,3,,0,0,0
547,0,3,,0,0,0
548,0,3,,0,0,0
549,0,3,,0,0,0
550,0,3,,0,0,0
551,0,3,,0,0,0
552,0,3,,0,0,0
553,0,3,,0,0,0
554,0,3,,0,0,0
555,0,3,,0,0,0
556,0,3,,0,0,0
557,0,3,,0,0,0
558,0,3,,0,0,0
559,0,3,,0,0,0
560,0,3,,0,0,0
561,0,3,,0,0,0
562,0,3,,0,0,0
563,0,3,,0,0,0
564,1,3,,0,0,0
565,1,3,,0,0,0
566,1,3,,0,0,0
567,1,1,2019-03-01 00:00:00,0,0,0
568,0,3,,0,0,0
569,1,1,2019-03-21 00:00:00,0,0,0
570,1,3,,0,1,0
571,0,1,,0,0,0
572,0,1,2018-04-16 00:00:00,0,0,0
573,1,1,2019-01-25 00:00:00,0,0,0
574,0,2,2018-02-19 00:00:00,0,0,0
575,0,3,,0,0,0
576,0,3,,0,0,0
577,0,3,,0,0,0
578,0,3,,0,0,0
579,0,3,,0,0,0
580,0,3,,0,0,0
581,0,1,2018-06-01 00:00:00,0,0,0
582,1,1,,0,0,0
583,0,2,,0,0,0
584,0,1,,0,0,0
585,0,3,,0,0,0
586,0,1,,0,0,0
587,1,1,2015-10-01 00:00:00,0,0,0
588,0,3,,0,0,0
589,1,1,2018-08-18 00:00:00,0,0,0
590,0,3,,0,0,0
591,1,1,,0,0,0
592,0,3,,0,0,0
593,1,3,,0,0,0
594,0,3,,0,0,0
595,0,3,,0,0,0
596,0,3,,0,0,0
597,0,3,,0,0,0
598,0,3,,0,0,0
599,0,3,,0,0,0
600,0,2,2018-10-01 00:00:00,0,0,0
601,0,1,,0,0,0
602,0,2,,0,0,0
603,0,1,,0,0,0
604,1,1,2015-10-01 00:00:00,0,0,0
605,0,2,,0,0,0
606,0,3,,0,0,0
607,0,3,,0,0,0
608,0,2,2018-10-01 00:00:00,0,0,0
609,1,1,2016-12-01 00:00:00,1,0,0
610,1,1,2016-10-01 00:00:00,1,0,0
611,1,1,2017-08-26 00:00:00,1,0,0
612,1,3,,0,0,0
613,1,3,,0,0,0
614,1,1,2018-07-07 00:00:00,1,0,0
615,1,2,2017-07-20 00:00:00,1,0,0
616,1,1,2017-08-04 00:00:00,1,0,0
617,1,1,2016-09-18 00:00:00,1,0,0
618,1,1,2018-05-12 00:00:00,1,0,0
619,1,3,,0,1,1
620,1,3,,0,0,0
621,1,1,2017-08-15 00:00:00,1,0,0
622,1,1,2018-07-01 00:00:00,1,0,0
623,1,1,2017-06-23 00:00:00,1,0,0
