,Savings,CreditScore,Debt
1207,0,698,2281
1208,,620,33159
1209,,599,2727
1210,,547,17207
1211,0,551,22357
1212,,,
1213,,691,26705
1214,,,
1215,,,0
1216,,,
1217,,,
1218,,,
1219,,,
1220,0,526,11456
1221,,,
1222,,,
1223,,,
1224,,542,6633
1225,20,558,41110
1226,,,
1227,,496,61986
1228,6,495,70562
1229,,494,3249
1230,,533,16712
1231,0,645,2891
1232,25,492,564
1233,,,
1234,,519,52458
1235,,718,15014
1236,,546,25569
1237,,,
1238,,,
1239,0,,
1240,1000,,
1241,,550,98570
1242,20,,8373.12
1243,,,294
1244,0,609,101838
1245,,,
1246,39,570,88768
1247,,470,22175
1248,,,
1249,0,672,93104
1250,,,
1251,,468,8168
1252,0,523,17437
1253,,678,113318
1254,,537,1791
1255,0,534,338
1256,,,
1257,,449,161938
1258,0,668,265
1259,,,
1260,0,428,9911
1261,,734,48628
1262,,556,16828
1263,,492,56278
1264,0,521,24474
1265,,502,54965
1266,,560,11655
1267,,,
1268,0,658,21219
1269,0,467,252347
1270,,,
1271,,644,0
1272,,539,4915
1273,,549,7688
1274,,,
1275,,738,41705
1276,,569,65461
1277,,,
1278,,,
1279,2600,674,106222
1280,,,
1281,,584,2327
1282,,438,44285
1283,,,
1284,,582,2317
1285,,,
1286,16,,
1287,,,
1288,0,763,103678
1289,,513,11033
1290,240,,
1291,,,
1292,,,
1293,,,
1294,,496,16235
1295,,640,143036
1296,,,
1297,,,
1298,,,0
1299,,444,52544
1300,,,0
1301,,459,6685
1302,,,
1303,,551,22951
1304,,,
1305,,466,15261
1306,,,
1307,,486,78045
1308,,554,274
1309,,583,14439
1310,,647,
1311,,,
1312,,,258
1313,,607,12452
1314,,730,5119
1315,,,
1316,,514,39907
1317,,470,35666
1318,,,
1319,,,
1320,,,
1321,,,
1322,20,,
1323,,,
1324,,488,5353
1325,,,
1326,,489,100786
1327,,520,17290
1328,,536,16732
1329,,,
1330,,574,2582
1331,,647,4802
1332,,647,4802
1333,43,478,31614
1334,,636,12659
1335,,,
1336,,,
1337,,,
1338,,,
1339,,576,9692
1340,,506,70160
1341,,,
1342,,506,113190
1343,,,
1344,,,
1345,,,
1346,,495,11300
1347,,,
1348,,,
1349,,624,19344
1350,,,
1351,,576,46915
1352,,454,119681
1353,,532,8862
1354,,,
1355,,,
1356,,490,6451
1357,,,
1358,,,
1359,,,
1360,,527,102228
1361,,423,62415
1362,,594,11541
1363,,,
1364,500,,
1365,0,750,0
1366,0,790,38000
1367,0,,0
1368,520,540,200000
1369,0,580,6000
1370,250,,10000
1371,0,652,20000
1372,0,,
1373,0,,15000
1374,0,,300
